sentID	nw	wordID	length	freq	pred	word	deps
1	12	1	6	1	0.0	Margie	[]
1	12	2	5	181	0.0	moved	[1]
1	12	3	4	1789	0.2	into	[]
1	12	4	3	3036	0.25	her	[]
1	12	5	3	1635	0.65	new	[]
1	12	6	9	81	0.75	apartment	[5, 4, 3, 2]
1	12	7	2	5372	0.0	at	[]
1	12	8	3	69974	0.6	the	[]
1	12	9	3	409	0.1	end	[8, 7, 2]
1	12	10	2	36414	0.95	of	[]
1	12	11	3	69974	1.0	the	[]
1	12	12	7	134	0.1	summer.	[11, 10, 9]
2	10	1	3	69974	0.0	The	[]
2	10	2	9	92	0.0	principal	[1]
2	10	3	10	52	0.0	introduced	[2]
2	10	4	3	69974	0.8	the	[]
2	10	5	3	1635	0.35	new	[]
2	10	6	9	382	0.0	president	[5, 4, 3]
2	10	7	2	36414	0.55	of	[]
2	10	8	3	69974	1.0	the	[]
2	10	9	6	75	0.0	junior	[]
2	10	10	6	207	0.7	class.	[9, 8, 7, 6]
3	12	1	4	108	0.0	None	[]
3	12	2	2	36414	0.9	of	[]
3	12	3	3	69974	0.9	the	[]
3	12	4	8	213	0.15	students	[3, 2, 1]
3	12	5	6	226	0.05	wanted	[1]
3	12	6	2	26155	0.95	to	[]
3	12	7	4	3942	0.1	have	[6, 5]
3	12	8	2	3727	0.45	an	[]
3	12	9	4	1	0.45	exam	[8, 7]
3	12	10	5	1068	0.0	after	[]
3	12	11	6	126	0.0	Spring	[]
3	12	12	6	88	0.95	Break.	[11, 10, 7]
4	11	1	4	83	0.0	Mark	[]
4	11	2	4	413	0.0	told	[1]
4	11	3	5	1	0.0	Janet	[2]
4	11	4	4	10593	0.8	that	[]
4	11	5	2	9547	0.6	he	[]
4	11	6	5	2715	0.1	would	[]
4	11	7	4	149	0.0	meet	[6, 5, 4, 2]
4	11	8	3	3036	0.95	her	[7]
4	11	9	5	1068	0.2	after	[]
4	11	10	8	57	0.0	baseball	[]
4	11	11	9	94	0.9	practice.	[10, 9, 7]
5	10	1	4	143	0.0	Bill	[]
5	10	2	10	22	0.0	complained	[1]
5	10	3	4	10593	0.3	that	[]
5	10	4	3	69974	0.2	the	[]
5	10	5	8	39	0.0	magazine	[4]
5	10	6	8	97	0.0	included	[5, 3, 2]
5	10	7	4	2214	0.0	more	[]
5	10	8	4	10	0.4	adds	[7, 6]
5	10	9	4	1790	0.9	than	[]
5	10	10	9	31	0.75	articles.	[9, 8]
6	13	1	3	69974	0.0	The	[]
6	13	2	5	45	0.0	angry	[]
6	13	3	3	1207	0.4	man	[2, 1]
6	13	4	6	401	0.0	called	[3]
6	13	5	3	69974	0.5	the	[]
6	13	6	7	40	0.0	senator	[5, 4]
6	13	7	2	26155	0.15	to	[]
6	13	8	8	11	0.35	complain	[7, 4]
6	13	9	5	1814	0.95	about	[]
6	13	10	3	69974	0.45	the	[]
6	13	11	3	1635	0.05	new	[]
6	13	12	3	201	0.35	tax	[]
6	13	13	4	299	0.5	law.	[12, 11, 10, 9, 8]
7	9	1	3	69974	0.0	The	[]
7	9	2	9	19	0.0	policeman	[1]
7	9	3	8	102	0.0	demanded	[2]
7	9	4	2	26155	0.2	to	[]
7	9	5	3	772	0.7	see	[4, 3]
7	9	6	5	4	0.0	Jim's	[]
7	9	7	7	36	0.65	license	[6, 5]
7	9	8	3	28850	0.65	and	[]
7	9	9	13	23	1.0	registration.	[8, 7]
8	10	1	1	23127	0.0	A	[]
8	10	2	6	11	0.0	strict	[]
8	10	3	11	1	0.0	vegetarian,	[2, 1]
8	10	4	8	1	0.0	Jennifer	[3]
8	10	5	4	485	0.1	does	[]
8	10	6	3	4868	0.95	not	[]
8	10	7	3	61	0.95	eat	[6, 5, 4]
8	10	8	7	37	0.0	chicken	[7]
8	10	9	2	4204	0.95	or	[]
8	10	10	5	31	0.25	beef.	[9, 8]
9	9	1	7	1	0.0	Nancy's	[]
9	9	2	7	90	0.0	kitchen	[1]
9	9	3	3	9816	0.4	was	[]
9	9	4	8	1	0.0	infested	[3, 2]
9	9	5	4	7289	1.0	with	[]
9	9	6	9	6	0.0	carpenter	[]
9	9	7	4	1	0.9	ants	[6, 5, 4]
9	9	8	3	28850	0.8	and	[]
9	9	9	8	1	0.25	roaches.	[8, 7]
10	11	1	3	69974	0.0	The	[]
10	11	2	9	8	0.0	hurricane	[1]
10	11	3	9	39	0.15	destroyed	[2]
10	11	4	6	83	0.0	houses	[3]
10	11	5	2	21335	0.05	in	[]
10	11	6	3	69974	0.6	the	[]
10	11	7	7	72	0.0	village	[6, 5, 4]
10	11	8	3	28850	0.6	and	[]
10	11	9	4	141	0.05	left	[8, 3]
10	11	10	4	1029	0.15	many	[]
10	11	11	9	1	0.25	homeless.	[10, 9]
11	11	1	3	15	0.0	Amy	[]
11	11	2	4	413	0.0	told	[1]
11	11	3	3	69974	0.1	the	[]
11	11	4	7	80	0.15	teacher	[3, 2]
11	11	5	4	10593	0.9	that	[]
11	11	6	3	3036	0.1	her	[]
11	11	7	3	76	0.1	dog	[6]
11	11	8	3	16	0.75	ate	[7, 5, 2]
11	11	9	3	3036	0.9	her	[]
11	11	10	8	1	0.95	homework	[]
11	11	11	11	62	0.1	assignment.	[10, 9, 8]
12	13	1	2	13	0.0	Ed	[]
12	13	2	3	9816	0.1	was	[]
12	13	3	9	15	0.0	forbidden	[2, 1]
12	13	4	2	26155	0.9	to	[]
12	13	5	6	54	0.0	attend	[4, 3]
12	13	6	7	267	0.0	college	[]
12	13	7	7	59	0.05	parties	[6, 5]
12	13	8	5	680	0.0	while	[]
12	13	9	2	9547	0.8	he	[]
12	13	10	3	9816	0.85	was	[]
12	13	11	2	21335	0.2	in	[]
12	13	12	4	498	0.2	high	[]
12	13	13	7	493	0.95	school.	[12, 11, 10, 9, 8, 5]
13	11	1	5	1	0.0	Sheri	[]
13	11	2	3	28850	0.0	and	[]
13	11	3	3	3036	0.25	her	[]
13	11	4	7	161	0.35	friends	[3, 2, 1]
13	11	5	4	508	0.45	went	[1]
13	11	6	2	26155	0.95	to	[]
13	11	7	6	16	0.0	Hawaii	[6, 5]
13	11	8	3	9489	0.6	for	[]
13	11	9	5	2670	0.0	their	[]
13	11	10	6	134	0.0	summer	[]
13	11	11	9	47	1.0	vacation.	[10, 9, 8, 5]
14	12	1	4	83	0.0	Mark	[]
14	12	2	3	438	0.0	put	[1]
14	12	3	3	834	0.0	too	[]
14	12	4	4	937	0.68	much	[3]
14	12	5	4	22	0.0	soap	[4, 2]
14	12	6	2	21335	0.42	in	[]
14	12	7	3	69974	0.79	the	[]
14	12	8	7	44	0.26	washing	[]
14	12	9	8	103	0.89	machine,	[8, 7, 6, 2]
14	12	10	3	69974	0.68	and	[]
14	12	11	2	8761	0.58	it	[]
14	12	12	11	2	0.69	overflowed.	[11, 10, 2]
15	10	1	3	69974	0.0	The	[]
15	10	2	6	7	0.0	circus	[]
15	10	3	5	10	0.0	tents	[2, 1]
15	10	4	4	3286	0.7	were	[]
15	10	5	7	32	0.0	crowded	[4, 3]
15	10	6	4	7289	0.85	with	[]
15	10	7	8	58	0.1	animals,	[6, 5]
15	10	8	7	2	0.35	clowns,	[7]
15	10	9	3	28850	0.85	and	[]
15	10	10	9	355	0.2	children.	[9, 7]
16	11	1	3	69974	0.0	The	[]
16	11	2	4	57	0.0	bear	[1]
16	11	3	6	1	0.0	chased	[2]
16	11	4	5	1068	0.05	after	[]
16	11	5	3	69974	0.8	the	[]
16	11	6	6	66	0.0	forest	[]
16	11	7	6	2	0.7	ranger	[6, 5, 4, 3]
16	11	8	3	2252	0.05	who	[]
16	11	9	3	9816	0.2	was	[]
16	11	10	8	71	0.0	carrying	[9, 8, 7]
16	11	11	6	24	0.0	honey.	[10]
17	11	1	3	69974	0.0	The	[]
17	11	2	4	351	0.0	best	[]
17	11	3	5	570	0.0	place	[2, 1]
17	11	4	4	10593	0.0	that	[]
17	11	5	6	37	0.05	serves	[4, 3]
17	11	6	6	78	0.15	coffee	[5]
17	11	7	3	28850	0.2	and	[]
17	11	8	7	1	0.0	muffins	[7, 6]
17	11	9	2	10109	0.8	is	[]
